imdb_rate,tomatoe_rate,imdb_votes_count,imdb_votes,popularity,movie_rate
5.4,1.6,582,5.1,1.170499,3.31762475
6.1,5.7,16,5.5,0.47175,4.442937499999999
5.4,8.4,32,5.1,0.193323,4.7733307499999995
5.4,2.5,228,5.4,0.8067350000000001,3.52668375
5.9,3.9,142,5.5,0.674762,3.9936905
7.6,10.0,13,7.2,0.09638300000000001,6.224095749999999
5.2,2.9,472,5.5,1.083957,3.6709892500000003
6.1,3.2,14,7.3,0.196975,4.19924375
5.8,2.9,215,5.6,0.9246549999999999,3.80616375
6.3,4.4,136,6.1,0.721548,4.380387
6.2,3.7,35,5.4,0.892862,4.0482155
5.5,5.0,16,4.8,0.360554,3.9151385000000003
5.3,4.5,206,4.9,0.5594720000000001,3.8148679999999997
5.3,6.7,67,5.2,0.705609,4.47640225
4.7,1.3,146,6.1,0.300442,3.1001105
5.5,7.1,101,5.4,0.43959799999999993,4.6098995
5.1,7.7,11,6.2,0.147319,4.78682975
5.8,3.8,218,5.5,0.608282,3.9270705
5.9,3.0,218,5.8,2.161064,4.215266000000001
6.2,2.3,322,5.7,1.443406,3.9108514999999997
5.7,2.6,137,5.3,0.675717,3.5689292500000005
6.2,4.3,113,5.7,1.06823,4.3170575
6.7,8.0,39,6.2,0.344549,5.31113725
5.9,0.8,72,6.1,1.255616,3.513904
5.6,1.8,310,5.5,0.8391069999999999,3.4347767499999997
5.3,3.8,194,4.8,0.890965,3.6977412499999995
4.9,2.0,164,4.5,0.669351,3.0173377500000003
6.2,4.6,56,5.9,0.548656,4.312164
5.6,4.4,141,4.8,0.47065100000000004,3.8176627499999998
5.6,1.4,350,5.6,0.69948,3.3248699999999998
5.5,4.3,116,5.5,0.305643,3.90141075
6.0,0.6,235,5.9,0.528255,3.25706375
6.8,5.7,10,6.6,0.136706,4.8091765
6.3,2.2,49,5.9,0.406941,3.7017352500000005
5.5,2.0,53,5.5,0.257263,3.31431575
5.5,2.0,897,5.8,1.412233,3.6780582500000003
5.5,2.0,497,6.8,1.263483,3.8908707500000004
5.5,0.6,144,5.7,0.40582199999999996,3.0514555000000003
5.4,2.6,215,5.5,0.880268,3.5950670000000002
6.1,4.2,53,6.0,0.470991,4.19274775
5.6,4.1,77,5.7,0.336167,3.93404175
5.8,3.6,26,4.2,0.301709,3.4754272500000005
5.8,3.6,10,6.0,0.184723,3.8961807499999996
5.3,1.5,70,5.4,0.5584020000000001,3.1896005
5.6,0.5,39,5.2,0.34428600000000004,2.9110715000000003
5.6,3.3,119,5.9,0.5062409999999999,3.8265602499999996
5.6,3.9,32,5.3,0.190667,3.7476667499999996
5.3,1.6,331,5.5,1.742286,3.5355714999999996
5.0,0.9,345,5.5,0.8924549999999999,3.07311375
5.8,2.7,35,5.3,0.196421,3.4991052500000004
4.5,1.6,275,5.5,0.984762,3.1461905
5.2,2.3,205,4.9,0.9416040000000001,3.335401
5.0,1.9,289,4.8,0.70817,3.1020424999999996
3.9,0.9,189,5.0,1.101383,2.7253457500000002
6.0,3.7,52,4.8,0.621645,3.7804112500000002
5.5,4.1,50,5.4,0.525783,3.88144575
5.3,3.3,91,5.0,0.41491300000000003,3.5037282500000004
5.0,1.0,262,5.1,0.8431489999999999,2.98578725
5.2,0.5,14,3.9,0.26004499999999997,2.4650112500000003
5.8,4.0,78,5.2,0.442067,3.86051675
4.5,1.8,66,4.8,0.322152,2.855538
5.3,1.9,13,5.2,0.422767,3.2056917499999997
6.3,1.2,43,5.8,0.626306,3.4815765
5.3,3.4,82,5.4,0.524315,3.6560787500000003
4.1,0.5,732,4.7,1.538276,2.709569
5.9,3.0,52,5.4,0.5485869999999999,3.71214675
5.5,1.6,16,5.8,0.13792100000000002,3.25948025
4.6,3.4,19,6.8,0.41189899999999996,3.8029747499999997
5.1,2.9,20,4.6,0.13616099999999998,3.18404025
4.1,2.2,69,5.7,0.43558199999999997,3.1088955
5.7,3.8,35,6.7,0.33726100000000003,4.13431525
4.5,4.0,31,5.7,0.502088,3.675522
5.0,1.1,62,4.7,1.0389709999999999,2.95974275
5.6,2.5,33,5.6,0.829686,3.6324215
4.8,0.4,133,5.5,1.074793,2.9436982499999997
5.3,1.0,54,4.7,0.650841,2.91271025
5.2,2.1,23,4.8,0.43307299999999993,3.1332682500000004
4.7,4.6,20,4.8,0.34770700000000004,3.6119267499999994
